Nome Autor,ABNT Longo,ABNT sem ponto,ABNT com ponto
Rennan Faria Kruger Thamay,"THAMAY, Rennan Faria Kruger ","THAMAY, R F K ","THAMAY, R. F. K. "
Rennan Thamay,"THAMAY, Rennan ","THAMAY, R ","THAMAY, R. "
Revista dos Tribunais,"TRIBUNAIS, Revista dos ","TRIBUNAIS, R ","TRIBUNAIS, R. "
Ricardo Alexandre da Silva,"SILVA, Ricardo Alexandre da ","SILVA, R A ","SILVA, R. A. "
Ricardo Campos,"CAMPOS, Ricardo ","CAMPOS, R ","CAMPOS, R. "
Ricardo Luis Lorenzetti,"LORENZETTI, Ricardo Luis ","LORENZETTI, R L ","LORENZETTI, R. L. "
Ricardo Marques Dip,"DIP, Ricardo Marques ","DIP, R M ","DIP, R. M. "
Ricardo Oliveira,"OLIVEIRA, Ricardo ","OLIVEIRA, R ","OLIVEIRA, R. "
Ricardo Yamin Fernandes,"FERNANDES, Ricardo Yamin ","FERNANDES, R Y ","FERNANDES, R. Y. "
Rita Dias Nolasco,"NOLASCO, Rita Dias ","NOLASCO, R D ","NOLASCO, R. D. "
Robson Passos Caires,"CAIRES, Robson Passos ","CAIRES, R P ","CAIRES, R. P. "
Rodolfo da Costa Manso Real Amadeo,"AMADEO, Rodolfo da Costa Manso Real ","AMADEO, R C M R ","AMADEO, R. C. M. R. "
Rodolfo de Camargo Mancuso,"MANCUSO, Rodolfo de Camargo ","MANCUSO, R C ","MANCUSO, R. C. "
Rodrigo Bordalo,"BORDALO, Rodrigo ","BORDALO, R ","BORDALO, R. "
Rodrigo Bordalo Rodrigues,"RODRIGUES, Rodrigo Bordalo ","RODRIGUES, R B ","RODRIGUES, R. B. "
Rodrigo da Guia Silva,"SILVA, Rodrigo da Guia ","SILVA, R G ","SILVA, R. G. "
Rodrigo Duque Estrada Roig,"ROIG, Rodrigo Duque Estrada ","ROIG, R D E ","ROIG, R. D. E. "
Rodrigo eidelvein do Canto,"CANTO, Rodrigo eidelvein do ","CANTO, R e ","CANTO, R. e. "
Rodrigo Faucz Pereira e Silva,"SILVA, Rodrigo Faucz Pereira e ","SILVA, R F P ","SILVA, R. F. P. "
Rodrigo Gomes de Mendonca Pinheiro,"PINHEIRO, Rodrigo Gomes de Mendonca ","PINHEIRO, R G M ","PINHEIRO, R. G. M. "
Rodrigo Luis Kanayama,"KANAYAMA, Rodrigo Luis ","KANAYAMA, R L ","KANAYAMA, R. L. "
Rodrigo Ramina de Lucca,"LUCCA, Rodrigo Ramina de ","LUCCA, R R ","LUCCA, R. R. "
Rodrigo Trindade de Souza,"SOUZA, Rodrigo Trindade de ","SOUZA, R T ","SOUZA, R. T. "
Rodrigo Xavier Leonardo,"LEONARDO, Rodrigo Xavier ","LEONARDO, R X ","LEONARDO, R. X. "
Rogeria Dotti,"DOTTI, Rogeria ","DOTTI, R ","DOTTI, R. "
Rogeria Fagundes Dotti,"DOTTI, Rogeria Fagundes ","DOTTI, R F ","DOTTI, R. F. "
Rogerio Campos,"CAMPOS, Rogerio ","CAMPOS, R ","CAMPOS, R. "
Rogerio Favreto,"FAVRETO, Rogerio ","FAVRETO, R ","FAVRETO, R. "
Rogerio Licastro Torres de Mello,"MELLO, Rogerio Licastro Torres de ","MELLO, R L T ","MELLO, R. L. T. "
Rogerio Vidal Gandra da Silva Martins,"MARTINS, Rogerio Vidal Gandra da Silva ","MARTINS, R V G S ","MARTINS, R. V. G. S. "
Rolf Madaleno,"MADALENO, Rolf ","MADALENO, R ","MADALENO, R. "
Romulo Ponticelli Giorgi Junior,"GIORGI JUNIOR, Romulo Ponticelli ","GIORGI JUNIOR, R P ","GIORGI JUNIOR, R. P. "
Romulo S. R. Sampaio,"SAMPAIO, Romulo S. R. ","SAMPAIO, R S R ","SAMPAIO, R. S. R. "
Ronaldo Lemos,"LEMOS, Ronaldo ","LEMOS, R ","LEMOS, R. "
Rony Vainzof,"VAINZOF, Rony ","VAINZOF, R ","VAINZOF, R. "
Rosa Maria Barreto Borriello de Andrade Nery,"NERY, Rosa Maria Barreto Borriello de Andrade ","NERY, R M B B A ","NERY, R. M. B. B. A. "
Rosa Maria de Andrade Nery,"NERY, Rosa Maria de Andrade ","NERY, R M A ","NERY, R. M. A. "
Rosa Maria de Andrade Nery.,"NERY., Rosa Maria de Andrade ","NERY, R M A ","NERY., R. M. A. "
RT,"RT, ","RT, ","RT, "
Samuel R. De Oliveira,"OLIVEIRA, Samuel R. De ","OLIVEIRA, S R ","OLIVEIRA, S. R. "
Sandra Paula Tomazi,"TOMAZI, Sandra Paula ","TOMAZI, S P ","TOMAZI, S. P. "
Sandro Gilbert Martins,"MARTINS, Sandro Gilbert ","MARTINS, S G ","MARTINS, S. G. "
Sandro Lucio Dezan,"DEZAN, Sandro Lucio ","DEZAN, S L ","DEZAN, S. L. "
Sandro Marcelo Kozikoski,"KOZIKOSKI, Sandro Marcelo ","KOZIKOSKI, S M ","KOZIKOSKI, S. M. "
Saulo Lindorfer Pivetta,"PIVETTA, Saulo Lindorfer ","PIVETTA, S L ","PIVETTA, S. L. "
Sergio Arenhart,"ARENHART, Sergio ","ARENHART, S ","ARENHART, S. "
Sergio Cruz Arenhart,"ARENHART, Sergio Cruz ","ARENHART, S C ","ARENHART, S. C. "
Sergio Luiz Kukina,"KUKINA, Sergio Luiz ","KUKINA, S L ","KUKINA, S. L. "
Sergio Pinto Martins,"MARTINS, Sergio Pinto ","MARTINS, S P ","MARTINS, S. P. "
Sergio Salomao Shecaira,"SHECAIRA, Sergio Salomao ","SHECAIRA, S S ","SHECAIRA, S. S. "
Shirly Wajsbrot,"WAJSBROT, Shirly ","WAJSBROT, S ","WAJSBROT, S. "
Sidnei Amendoeira Jr,"AMENDOEIRA JR, Sidnei ","AMENDOEIRA JR, S ","AMENDOEIRA JR, S. "
Sidney Bittencourt,"BITTENCOURT, Sidney ","BITTENCOURT, S ","BITTENCOURT, S. "
Silas Silva Santos,"SANTOS, Silas Silva ","SANTOS, S S ","SANTOS, S. S. "
Silverio das Neves,"NEVES, Silverio das ","NEVES, S ","NEVES, S. "
Simone Trento,"TRENTO, Simone ","TRENTO, S ","TRENTO, S. "
Solon Cicero Linhares,"LINHARES, Solon Cicero ","LINHARES, S C ","LINHARES, S. C. "
Susana Gercwolf,"GERCWOLF, Susana ","GERCWOLF, S ","GERCWOLF, S. "
Talden Farias,"FARIAS, Talden ","FARIAS, T ","FARIAS, T. "
Tathiane Piscitelli,"PISCITELLI, Tathiane ","PISCITELLI, T ","PISCITELLI, T. "
Tayna Carneiro,"CARNEIRO, Tayna ","CARNEIRO, T ","CARNEIRO, T. "
Teori Albino Zavascki,"ZAVASCKI, Teori Albino ","ZAVASCKI, T A ","ZAVASCKI, T. A. "
Teori Zavaski,"ZAVASKI, Teori ","ZAVASKI, T ","ZAVASKI, T. "
Terence Trennepohl,"TRENNEPOHL, Terence ","TRENNEPOHL, T ","TRENNEPOHL, T. "
Teresa Arruda Alvim,"ALVIM, Teresa Arruda ","ALVIM, T A ","ALVIM, T. A. "
Teresa Arruda Alvim Wambier,"WAMBIER, Teresa Arruda Alvim ","WAMBIER, T A A ","WAMBIER, T. A. A. "
Thereza Christina Nahas,"NAHAS, Thereza Christina ","NAHAS, T C ","NAHAS, T. C. "
Thereza Nahas,"NAHAS, Thereza ","NAHAS, T ","NAHAS, T. "
Thiago de Moraes Silva,"SILVA, Thiago de Moraes ","SILVA, T M ","SILVA, T. M. "
Thiago Ferreira Siqueira,"SIQUEIRA, Thiago Ferreira ","SIQUEIRA, T F ","SIQUEIRA, T. F. "
Thiago Junqueira,"JUNQUEIRA, Thiago ","JUNQUEIRA, T ","JUNQUEIRA, T. "
Thiago Luis Santos Sombra,"SOMBRA, Thiago Luis Santos ","SOMBRA, T L S ","SOMBRA, T. L. S. "
Thiago Marrara,"MARRARA, Thiago ","MARRARA, T ","MARRARA, T. "
Thiago Taborda Simoes,"SIMOES, Thiago Taborda ","SIMOES, T T ","SIMOES, T. T. "
Thomson Reuters Editorial,"EDITORIAL, Thomson Reuters ","EDITORIAL, T R ","EDITORIAL, T. R. "
Tiago Fensterseifer,"FENSTERSEIFER, Tiago ","FENSTERSEIFER, T ","FENSTERSEIFER, T. "
Ubirajara Costodio Filho,"COSTODIO FILHO, Ubirajara ","COSTODIO FILHO, U ","COSTODIO FILHO, U. "
Valdecyr Maciel Gomes,"GOMES, Valdecyr Maciel ","GOMES, V M ","GOMES, V. M. "
Vander Brusso,"BRUSSO, Vander ","BRUSSO, V ","BRUSSO, V. "
Vanderlei Garcia Junior,"GARCIA JUNIOR, Vanderlei ","GARCIA JUNIOR, V ","GARCIA JUNIOR, V. "
Vanessa Carla Vidutto Berman,"BERMAN, Vanessa Carla Vidutto ","BERMAN, V C V ","BERMAN, V. C. V. "
Vanessa Miranda de Mello Pereira,"PEREIRA, Vanessa Miranda de Mello ","PEREIRA, V M M ","PEREIRA, V. M. M. "
Vicente Bagnoli,"BAGNOLI, Vicente ","BAGNOLI, V ","BAGNOLI, V. "
Vicente de Abreu Amadei,"AMADEI, Vicente de Abreu ","AMADEI, V A ","AMADEI, V. A. "
Victor Carvalho Pinto,"PINTO, Victor Carvalho ","PINTO, V C ","PINTO, V. C. "
Victor Luna Vidal,"VIDAL, Victor Luna ","VIDAL, V L ","VIDAL, V. L. "
Victor Menezes Garcia,"GARCIA, Victor Menezes ","GARCIA, V M ","GARCIA, V. M. "
Vinicius Alves Portela Martins,"MARTINS, Vinicius Alves Portela ","MARTINS, V A P ","MARTINS, V. A. P. "
Vinicius de Freitas Giron,"GIRON, Vinicius de Freitas ","GIRON, V F ","GIRON, V. F. "
Vinicius Gomes de Vasconcellos,"VASCONCELLOS, Vinicius Gomes de ","VASCONCELLOS, V G ","VASCONCELLOS, V. G. "
Vitor de Paula Ramos,"RAMOS, Vitor de Paula ","RAMOS, V P ","RAMOS, V. P. "
Vitor Fonseca,"FONSECA, Vitor ","FONSECA, V ","FONSECA, V. "
Viviane Nobrega Maldonado,"MALDONADO, Viviane Nobrega ","MALDONADO, V N ","MALDONADO, V. N. "
Viviane Siqueira Rodrigues,"RODRIGUES, Viviane Siqueira ","RODRIGUES, V S ","RODRIGUES, V. S. "
Vladimir da Rocha Franca,"FRANCA, Vladimir da Rocha ","FRANCA, V R ","FRANCA, V. R. "
Vladimir Passos de Freitas,"FREITAS, Vladimir Passos de ","FREITAS, V P ","FREITAS, V. P. "
Wagner Balera,"BALERA, Wagner ","BALERA, W ","BALERA, W. "
Waldyr Grisard Filho,"GRISARD FILHO, Waldyr ","GRISARD FILHO, W ","GRISARD FILHO, W. "
Yone Frediani,"FREDIANI, Yone ","FREDIANI, Y ","FREDIANI, Y. "
Yussef Said Cahali,"CAHALI, Yussef Said ","CAHALI, Y S ","CAHALI, Y. S. "
