Nome Autor,ABNT Longo,ABNT sem ponto,ABNT com ponto
Carlos Ragazzo,"RAGAZZO, Carlos ","RAGAZZO, C ","RAGAZZO, C. "
Carlos Roberto de Moraes,"MORAES, Carlos Roberto de ","MORAES, C R ","MORAES, C. R. "
Carmina Bezerra Hissa,"HISSA, Carmina Bezerra ","HISSA, C B ","HISSA, C. B. "
Carolina Baracat Mokarzel de Luca,"LUCA, Carolina Baracat Mokarzel de ","LUCA, C B M ","LUCA, C. B. M. "
Celina Bottino,"BOTTINO, Celina ","BOTTINO, C ","BOTTINO, C. "
Celso Maziteli Neto,"MAZITELI NETO, Celso ","MAZITELI NETO, C ","MAZITELI NETO, C. "
Cesar Fiuza,"FIUZA, Cesar ","FIUZA, C ","FIUZA, C. "
Cesar Zucatti Pritsch,"PRITSCH, Cesar Zucatti ","PRITSCH, C Z ","PRITSCH, C. Z. "
Cesare Beccaria,"BECCARIA, Cesare ","BECCARIA, C ","BECCARIA, C. "
Chiara Spadaccini de Teffe,"TEFFE, Chiara Spadaccini de ","TEFFE, C S ","TEFFE, C. S. "
Cintia Ramos Falcao,"FALCAO, Cintia Ramos ","FALCAO, C R ","FALCAO, C. R. "
Ciro DI Benatti Galvao,"GALVAO, Ciro DI Benatti ","GALVAO, C D B ","GALVAO, C. D. B. "
Clarissa Costa de Lima,"LIMA, Clarissa Costa de ","LIMA, C C ","LIMA, C. C. "
Claudia Lima Marques,"MARQUES, Claudia Lima ","MARQUES, C L ","MARQUES, C. L. "
Claudia Marchetti da Silva,"SILVA, Claudia Marchetti da ","SILVA, C M ","SILVA, C. M. "
Claudio Seefelder,"SEEFELDER, Claudio ","SEEFELDER, C ","SEEFELDER, C. "
Claudio Xavier Seefelder Filho,"SEEFELDER FILHO, Claudio Xavier ","SEEFELDER FILHO, C X ","SEEFELDER FILHO, C. X. "
Clayton Maranhao,"MARANHAO, Clayton ","MARANHAO, C ","MARANHAO, C. "
Clayton Reis,"REIS, Clayton ","REIS, C ","REIS, C. "
Clemerson Merlin Cleve,"CLEVE, Clemerson Merlin ","CLEVE, C M ","CLEVE, C. M. "
Cleverton Cremonese de Souza,"SOUZA, Cleverton Cremonese de ","SOUZA, C C ","SOUZA, C. C. "
Cristiano Heineck Schmitt,"SCHMITT, Cristiano Heineck ","SCHMITT, C H ","SCHMITT, C. H. "
Cristina de Maglie,"MAGLIE, Cristina de ","MAGLIE, C ","MAGLIE, C. "
Curt Trennepohl,"TRENNEPOHL, Curt ","TRENNEPOHL, C ","TRENNEPOHL, C. "
Daniel Becker,"BECKER, Daniel ","BECKER, D ","BECKER, D. "
Daniel Colnago Rodrigues,"RODRIGUES, Daniel Colnago ","RODRIGUES, D C ","RODRIGUES, D. C. "
Daniel de Paiva Gomes,"GOMES, Daniel de Paiva ","GOMES, D P ","GOMES, D. P. "
Daniel Dias,"DIAS, Daniel ","DIAS, D ","DIAS, D. "
Daniel Levy,"LEVY, Daniel ","LEVY, D ","LEVY, D. "
Daniel Menegassi Zotareli,"ZOTARELI, Daniel Menegassi ","ZOTARELI, D M ","ZOTARELI, D. M. "
Daniel Mitideiro,"MITIDEIRO, Daniel ","MITIDEIRO, D ","MITIDEIRO, D. "
Daniel Mitidiero,"MITIDIERO, Daniel ","MITIDIERO, D ","MITIDIERO, D. "
Daniel Ribeiro Surdi de Avelar,"AVELAR, Daniel Ribeiro Surdi de ","AVELAR, D R S ","AVELAR, D. R. S. "
Daniela Geovanini,"GEOVANINI, Daniela ","GEOVANINI, D ","GEOVANINI, D. "
Daniela Silveira Lara,"LARA, Daniela Silveira ","LARA, D S ","LARA, D. S. "
Danilo Doneda,"DONEDA, Danilo ","DONEDA, D ","DONEDA, D. "
Danilo Goncalves Gaspar,"GASPAR, Danilo Goncalves ","GASPAR, D G ","GASPAR, D. G. "
Danilo Knijnik,"KNIJNIK, Danilo ","KNIJNIK, D ","KNIJNIK, D. "
Danilo Uler Corregliano,"CORREGLIANO, Danilo Uler ","CORREGLIANO, D U ","CORREGLIANO, D. U. "
Danilo Vieira Vilela,"VILELA, Danilo Vieira ","VILELA, D V ","VILELA, D. V. "
Delton Winter de Carvalho,"CARVALHO, Delton Winter de ","CARVALHO, D W ","CARVALHO, D. W. "
Denise de Souza Luiz Francoski,"FRANCOSKI, Denise de Souza Luiz ","FRANCOSKI, D S L ","FRANCOSKI, D. S. L. "
Denise Fincato,"FINCATO, Denise ","FINCATO, D ","FINCATO, D. "
Diego Franzoni,"FRANZONI, Diego ","FRANZONI, D ","FRANZONI, D. "
Diego Machado,"MACHADO, Diego ","MACHADO, D ","MACHADO, D. "
Diogenes Faria de Carvalho,"CARVALHO, Diogenes Faria de ","CARVALHO, D F ","CARVALHO, D. F. "
Diogo Leite de Campos,"CAMPOS, Diogo Leite de ","CAMPOS, D L ","CAMPOS, D. L. "
Diogo Rais,"RAIS, Diogo ","RAIS, D ","RAIS, D. "
Diogo Zelak Agottani,"AGOTTANI, Diogo Zelak ","AGOTTANI, D Z ","AGOTTANI, D. Z. "
Domingo Montanaro,"MONTANARO, Domingo ","MONTANARO, D ","MONTANARO, D. "
Edilson Vitorelli,"VITORELLI, Edilson ","VITORELLI, E ","VITORELLI, E. "
Édis Milare,"MILARE, Édis ","MILARE, É ","MILARE, É. "
Editora RT,"RT, Editora ","RT, E ","RT, E. "
Editorial RT,"RT, Editorial ","RT, E ","RT, E. "
Eduardo Arruda Alvim,"ALVIM, Eduardo Arruda ","ALVIM, E A ","ALVIM, E. A. "
Eduardo Bruzzi,"BRUZZI, Eduardo ","BRUZZI, E ","BRUZZI, E. "
Eduardo Cambi,"CAMBI, Eduardo ","CAMBI, E ","CAMBI, E. "
Eduardo de Avelar Lamy,"LAMY, Eduardo de Avelar ","LAMY, E A ","LAMY, E. A. "
Eduardo Felipe P. Matias,"MATIAS, Eduardo Felipe P. ","MATIAS, E F P ","MATIAS, E. F. P. "
Eduardo Fortunato Bim,"BIM, Eduardo Fortunato ","BIM, E F ","BIM, E. F. "
Eduardo Henrik Aubert,"AUBERT, Eduardo Henrik ","AUBERT, E H ","AUBERT, E. H. "
Eduardo Lamy,"LAMY, Eduardo ","LAMY, E ","LAMY, E. "
Eduardo Saad-Diniz,"SAAD-DINIZ, Eduardo ","SAAD-DINIZ, E ","SAAD-DINIZ, E. "
Eduardo Talamini,"TALAMINI, Eduardo ","TALAMINI, E ","TALAMINI, E. "
Egon Bockmann Moreira,"MOREIRA, Egon Bockmann ","MOREIRA, E B ","MOREIRA, E. B. "
Eliana Calmon Alves,"ALVES, Eliana Calmon ","ALVES, E C ","ALVES, E. C. "
Eliana Lorenzato Marconi,"MARCONI, Eliana Lorenzato ","MARCONI, E L ","MARCONI, E. L. "
Eneas Costa Garcia,"GARCIA, Eneas Costa ","GARCIA, E C ","GARCIA, E. C. "
Eneida Desiree Salgado,"SALGADO, Eneida Desiree ","SALGADO, E D ","SALGADO, E. D. "
Enio Luiz Rossetto,"ROSSETTO, Enio Luiz ","ROSSETTO, E L ","ROSSETTO, E. L. "
Enio Rossetto,"ROSSETTO, Enio ","ROSSETTO, E ","ROSSETTO, E. "
Equipe Revista dos Tribunais,"TRIBUNAIS, Equipe Revista dos ","TRIBUNAIS, E R ","TRIBUNAIS, E. R. "
Equipe RT,"RT, Equipe ","RT, E ","RT, E. "
Erasmo Valladao Azevedo e Novaes Franca,"FRANCA, Erasmo Valladao Azevedo e Novaes ","FRANCA, E V A N ","FRANCA, E. V. A. N. "
Erica do Amaral Matos,"MATOS, Erica do Amaral ","MATOS, E A ","MATOS, E. A. "
Érica Trinca Caires,"CAIRES, Érica Trinca ","CAIRES, É T ","CAIRES, É. T. "
Erik Frederico Oioli,"OIOLI, Erik Frederico ","OIOLI, E F ","OIOLI, E. F. "
Erik Navarro Wolkart,"WOLKART, Erik Navarro ","WOLKART, E N ","WOLKART, E. N. "
Erika Mayumi Moreira da Silva,"SILVA, Erika Mayumi Moreira da ","SILVA, E M M ","SILVA, E. M. M. "
Eurico Marcos Diniz de Santi,"SANTI, Eurico Marcos Diniz de ","SANTI, E M D ","SANTI, E. M. D. "
Evandro Fabiani Capano,"CAPANO, Evandro Fabiani ","CAPANO, E F ","CAPANO, E. F. "
Everaldo Augusto Cambler,"CAMBLER, Everaldo Augusto ","CAMBLER, E A ","CAMBLER, E. A. "
Everaldo Cambler,"CAMBLER, Everaldo ","CAMBLER, E ","CAMBLER, E. "
Ezequiel Morais,"MORAIS, Ezequiel ","MORAIS, E ","MORAIS, E. "
Fabiano Coelho,"COELHO, Fabiano ","COELHO, F ","COELHO, F. "
Fabio Caldas de Araujo,"ARAUJO, Fabio Caldas de ","ARAUJO, F C ","ARAUJO, F. C. "
Fabio Medina Osorio,"OSORIO, Fabio Medina ","OSORIO, F M ","OSORIO, F. M. "
Fabio Nusdeo,"NUSDEO, Fabio ","NUSDEO, F ","NUSDEO, F. "
Fabio Pallaretti Calcini,"CALCINI, Fabio Pallaretti ","CALCINI, F P ","CALCINI, F. P. "
Fabio Ulhoa Coelho,"COELHO, Fabio Ulhoa ","COELHO, F U ","COELHO, F. U. "
Fabricio Bittencourt da Cruz,"CRUZ, Fabricio Bittencourt da ","CRUZ, F B ","CRUZ, F. B. "
Fabricio Germano Alves,"ALVES, Fabricio Germano ","ALVES, F G ","ALVES, F. G. "
Fabricio Motta,"MOTTA, Fabricio ","MOTTA, F ","MOTTA, F. "
Felipe Esmanhoto Mateo,"MATEO, Felipe Esmanhoto ","MATEO, F E ","MATEO, F. E. "
Felipe Faiwichow Estefam,"ESTEFAM, Felipe Faiwichow ","ESTEFAM, F F ","ESTEFAM, F. F. "
Felipe Palhares,"PALHARES, Felipe ","PALHARES, F ","PALHARES, F. "
Fernanda Antunes Marques Junqueira,"JUNQUEIRA, Fernanda Antunes Marques ","JUNQUEIRA, F A M ","JUNQUEIRA, F. A. M. "
Fernando Alves Montanari,"MONTANARI, Fernando Alves ","MONTANARI, F A ","MONTANARI, F. A. "
Fernando Antonio Maia da Cunha,"CUNHA, Fernando Antonio Maia da ","CUNHA, F A M ","CUNHA, F. A. M. "
Fernando Antonio Tasso,"TASSO, Fernando Antonio ","TASSO, F A ","TASSO, F. A. "
Fernando Buscher Von Teschenhausen Eberlin,"EBERLIN, Fernando Buscher Von Teschenhausen ","EBERLIN, F B V T ","EBERLIN, F. B. V. T. "
Fernando da Fonseca Gajardoni,"GAJARDONI, Fernando da Fonseca ","GAJARDONI, F F ","GAJARDONI, F. F. "
Fernando Dias Menezes de Almeida,"ALMEIDA, Fernando Dias Menezes de ","ALMEIDA, F D M ","ALMEIDA, F. D. M. "
Fernando Domingos Carvalho Blasco,"BLASCO, Fernando Domingos Carvalho ","BLASCO, F D C ","BLASCO, F. D. C. "
Fernando Facury Scaff,"SCAFF, Fernando Facury ","SCAFF, F F ","SCAFF, F. F. "
Fernando Fita Ortega,"ORTEGA, Fernando Fita ","ORTEGA, F F ","ORTEGA, F. F. "
Fernando Gentil Gizzi de Almeida Pedroso,"PEDROSO, Fernando Gentil Gizzi de Almeida ","PEDROSO, F G G A ","PEDROSO, F. G. G. A. "
Fernando Kuyven,"KUYVEN, Fernando ","KUYVEN, F ","KUYVEN, F. "
Fernando Pompeu Luccas,"LUCCAS, Fernando Pompeu ","LUCCAS, F P ","LUCCAS, F. P. "
Fernando Quadros da Silva,"SILVA, Fernando Quadros da ","SILVA, F Q ","SILVA, F. Q. "
Fernando Reverendo Vidal Akaoui,"AKAOUI, Fernando Reverendo Vidal ","AKAOUI, F R V ","AKAOUI, F. R. V. "
Fernando Tardioli,"TARDIOLI, Fernando ","TARDIOLI, F ","TARDIOLI, F. "
Fernando Villela de Andrade Vianna,"VIANNA, Fernando Villela de Andrade ","VIANNA, F V A ","VIANNA, F. V. A. "
Figueiredo Mourao,"MOURAO, Figueiredo ","MOURAO, F ","MOURAO, F. "
Flavia de Almeida Silva,"SILVA, Flavia de Almeida ","SILVA, F A ","SILVA, F. A. "
Flavia Palmeira de Moura Coelho,"COELHO, Flavia Palmeira de Moura ","COELHO, F P M ","COELHO, F. P. M. "
Flavio da Costa Higa,"HIGA, Flavio da Costa ","HIGA, F C ","HIGA, F. C. "
Flavio de Leao Bastos Pereira,"PEREIRA, Flavio de Leao Bastos ","PEREIRA, F L B ","PEREIRA, F. L. B. "
Flavio Luiz Yarshell,"YARSHELL, Flavio Luiz ","YARSHELL, F L ","YARSHELL, F. L. "
Floriano Peixoto Azevedo Marques Neto,"MARQUES NETO, Floriano Peixoto Azevedo ","MARQUES NETO, F P A ","MARQUES NETO, F. P. A. "
Floriano Peixoto Marques Neto,"MARQUES NETO, Floriano Peixoto ","MARQUES NETO, F P ","MARQUES NETO, F. P. "
Francisco de Mesquita Laux,"LAUX, Francisco de Mesquita ","LAUX, F M ","LAUX, F. M. "
Francisco Jose Cahali,"CAHALI, Francisco Jose ","CAHALI, F J ","CAHALI, F. J. "
Francisco Jose de Almeida Prado Ferraz Costa Junior,"COSTA JUNIOR, Francisco Jose de Almeida Prado Ferraz ","COSTA JUNIOR, F J A P F ","COSTA JUNIOR, F. J. A. P. F. "
Francisco Leite Duarte,"DUARTE, Francisco Leite ","DUARTE, F L ","DUARTE, F. L. "
Francisco Octavio de Almeida Prado Filho,"PRADO FILHO, Francisco Octavio de Almeida ","PRADO FILHO, F O A ","PRADO FILHO, F. O. A. "
Francisco Zardo,"ZARDO, Francisco ","ZARDO, F ","ZARDO, F. "
Fredie Didier Jr.,"JR., Fredie Didier ","JR, F D ","JR., F. D. "
Gabriel Adriasola,"ADRIASOLA, Gabriel ","ADRIASOLA, G ","ADRIASOLA, G. "
Gabriel Lino de Paula Pires,"PIRES, Gabriel Lino de Paula ","PIRES, G L P ","PIRES, G. L. P. "
Gabriel Vinicius Carmona Goncalves,"GONCALVES, Gabriel Vinicius Carmona ","GONCALVES, G V C ","GONCALVES, G. V. C. "
Gabriela Alves Campos Marques,"MARQUES, Gabriela Alves Campos ","MARQUES, G A C ","MARQUES, G. A. C. "
Gabriela Marques,"MARQUES, Gabriela ","MARQUES, G ","MARQUES, G. "
Geancarlos Lacerda Prata,"PRATA, Geancarlos Lacerda ","PRATA, G L ","PRATA, G. L. "
George Salomao Leite,"LEITE, George Salomao ","LEITE, G S ","LEITE, G. S. "
Georges Abboud,"ABBOUD, Georges ","ABBOUD, G ","ABBOUD, G. "
Gilberto Burschi,"BURSCHI, Gilberto ","BURSCHI, G ","BURSCHI, G. "
Gilberto Gomes Bruschi,"BRUSCHI, Gilberto Gomes ","BRUSCHI, G G ","BRUSCHI, G. G. "
Giovani dos Santos Ravagnani,"RAVAGNANI, Giovani dos Santos ","RAVAGNANI, G S ","RAVAGNANI, G. S. "
Giovani Ravagnani,"RAVAGNANI, Giovani ","RAVAGNANI, G ","RAVAGNANI, G. "
Gisele Barra Bossa,"BOSSA, Gisele Barra ","BOSSA, G B ","BOSSA, G. B. "
Gisele Calderari Cossi,"COSSI, Gisele Calderari ","COSSI, G C ","COSSI, G. C. "
Gisele Mazzoni Welsch,"WELSCH, Gisele Mazzoni ","WELSCH, G M ","WELSCH, G. M. "
Giuliano Giova,"GIOVA, Giuliano ","GIOVA, G ","GIOVA, G. "
Giuseppe Ludovico,"LUDOVICO, Giuseppe ","LUDOVICO, G ","LUDOVICO, G. "
Graziela Argenta Zaneti,"ZANETI, Graziela Argenta ","ZANETI, G A ","ZANETI, G. A. "
Guilherme Calmon Nogueira da Gama,"GAMA, Guilherme Calmon Nogueira da ","GAMA, G C N ","GAMA, G. C. N. "
Guilherme Guimaraes Feliciano,"FELICIANO, Guilherme Guimaraes ","FELICIANO, G G ","FELICIANO, G. G. "
Guilherme Madeira Dezem,"DEZEM, Guilherme Madeira ","DEZEM, G M ","DEZEM, G. M. "
Guilherme Magalhaes Martins,"MARTINS, Guilherme Magalhaes ","MARTINS, G M ","MARTINS, G. M. "
Guilherme Mucelim,"MUCELIM, Guilherme ","MUCELIM, G ","MUCELIM, G. "
Guilherme Mucelin,"MUCELIN, Guilherme ","MUCELIN, G ","MUCELIN, G. "
Guilherme Rizzo Amaral,"AMARAL, Guilherme Rizzo ","AMARAL, G R ","AMARAL, G. R. "
Guilherme Setoguti J. Pereira,"PEREIRA, Guilherme Setoguti J. ","PEREIRA, G S J ","PEREIRA, G. S. J. "
Guilherme Setogutti J. Pereira,"PEREIRA, Guilherme Setogutti J. ","PEREIRA, G S J ","PEREIRA, G. S. J. "
Gustavo Badaro,"BADARO, Gustavo ","BADARO, G ","BADARO, G. "
Gustavo Ferraz de Campos Monaco,"MONACO, Gustavo Ferraz de Campos ","MONACO, G F C ","MONACO, G. F. C. "
Gustavo Fossati,"FOSSATI, Gustavo ","FOSSATI, G ","FOSSATI, G. "
Gustavo Haical,"HAICAL, Gustavo ","HAICAL, G ","HAICAL, G. "
Gustavo Henrique Badaro,"BADARO, Gustavo Henrique ","BADARO, G H ","BADARO, G. H. "
Gustavo Henrique Righi Ivahy Badaro,"BADARO, Gustavo Henrique Righi Ivahy ","BADARO, G H R I ","BADARO, G. H. R. I. "
Gustavo Justino de Oliveira,"OLIVEIRA, Gustavo Justino de ","OLIVEIRA, G J ","OLIVEIRA, G. J. "
Gustavo Mascarenhas Lacerda Pedrina,"PEDRINA, Gustavo Mascarenhas Lacerda ","PEDRINA, G M L ","PEDRINA, G. M. L. "
Gustavo Osna,"OSNA, Gustavo ","OSNA, G ","OSNA, G. "
Halley Henares Neto,"HENARES NETO, Halley ","HENARES NETO, H ","HENARES NETO, H. "
Hector Valverde Santana,"SANTANA, Hector Valverde ","SANTANA, H V ","SANTANA, H. V. "
Heitor Vitor Mendonca Sica,"SICA, Heitor Vitor Mendonca ","SICA, H V M ","SICA, H. V. M. "
Heleno Tavares Torres,"TORRES, Heleno Tavares ","TORRES, H T ","TORRES, H. T. "
Heleno Taveira Torres,"TORRES, Heleno Taveira ","TORRES, H T ","TORRES, H. T. "
Henrique Fabretti Moraes,"MORAES, Henrique Fabretti ","MORAES, H F ","MORAES, H. F. "
Henrique Savonitti Miranda,"MIRANDA, Henrique Savonitti ","MIRANDA, H S ","MIRANDA, H. S. "
Henry Carlos Fernandes Antunes,"ANTUNES, Henry Carlos Fernandes ","ANTUNES, H C F ","ANTUNES, H. C. F. "
